Freq.	V(n007)/V(n010)	V(n002)/V(n010)	V(n004)/V(n002)	V(n004)/V(n010)	V(n004)	V(p002)
1.41253754462275e+05	(5.18067187612793e-05dB,-2.41613569322340e+00°)	(-1.44022787933402e+01dB,8.62707763177653e+01°)	(-1.34951394592563e+01dB,8.83413719121754e+01°)	(-2.78974182525966e+01dB,1.74612148229941e+02°)	(-6.78974182525966e+01dB,1.74612148229941e+02°)	(-5.44025493514939e+01dB,8.64085506722458e+01°)
1.44543977074592e+05	(6.62946450541353e-05dB,-2.47244082713001e+00°)	(-1.46620083764588e+01dB,8.60573600442786e+01°)	(-1.37731700367995e+01dB,8.81726074986157e+01°)	(-2.84351784132582e+01dB,1.74229967542894e+02°)	(-6.84351784132582e+01dB,1.74229967542894e+02°)	(-5.46622780128680e+01dB,8.61919697910427e+01°)
1.47910838816820e+05	(8.14543635115998e-05dB,-2.53006068986731e+00°)	(-1.49184816574727e+01dB,8.58435061171119e+01°)	(-1.40468574458917e+01dB,8.80050623675241e+01°)	(-2.89653391033644e+01dB,1.73848568484636e+02°)	(-6.89653391033644e+01dB,1.73848568484636e+02°)	(-5.49187504279868e+01dB,8.59750256451383e+01°)
1.51356124843620e+05	(9.73152730613178e-05dB,-2.58902607808729e+00°)	(-1.51718772622269e+01dB,8.56289639389089e+01°)	(-1.43164592205435e+01dB,8.78384545117223e+01°)	(-2.94883364827703e+01dB,1.73467418450631e+02°)	(-6.94883364827703e+01dB,1.73467418450631e+02°)	(-5.51721452182013e+01dB,8.57574657249971e+01°)
1.54881661891247e+05	(1.13908053763697e-04dB,-2.64936852178112e+00°)	(-1.54223612121981e+01dB,8.54134959300315e+01°)	(-1.45822132863874e+01dB,8.76725227960887e+01°)	(-3.00045744985855e+01dB,1.73086018726120e+02°)	(-7.00045744985855e+01dB,1.73086018726120e+02°)	(-5.54226284009983e+01dB,8.55390506054877e+01°)
1.58489319246110e+05	(1.31264704242289e-04dB,-2.71112030217441e+00°)	(-1.56700879491034e+01dB,8.51968759708318e+01°)	(-1.48443397474428e+01dB,8.75070244235606e+01°)	(-3.05144276965462e+01dB,1.72703900394392e+02°)	(-7.05144276965462e+01dB,1.72703900394392e+02°)	(-5.56703544145363e+01dB,8.53195523838159e+01°)
1.62181009735892e+05	(1.49418580227624e-04dB,-2.77431447013283e+00°)	(-1.59152012548324e+01dB,8.49788880291311e+01°)	(-1.51030424707890e+01dB,8.73417327408774e+01°)	(-3.10182437256214e+01dB,1.72320620770008e+02°)	(-7.10182437256214e+01dB,1.72320620770008e+02°)	(-5.59154670375174e+01dB,8.50987533031574e+01°)
1.65958690743755e+05	(1.68404434146739e-04dB,-2.83898486509246e+00°)	(-1.61578350791277e+01dB,8.47593249471685e+01°)	(-1.53585104958109e+01dB,8.71764353319535e+01°)	(-3.15163455749386e+01dB,1.71935760279122e+02°)	(-7.15163455749386e+01dB,1.71935760279122e+02°)	(-5.61581002168173e+01dB,8.48764445361772e+01°)
1.69824365246173e+05	(1.88258455517044e-04dB,-2.90516613452934e+00°)	(-1.63981142857383e+01dB,8.45379873662815e+01°)	(-1.56109192906590e+01dB,8.70109323557360e+01°)	(-3.20090335763973e+01dB,1.71548919722017e+02°)	(-7.20090335763973e+01dB,1.71548919722017e+02°)	(-5.63983788135966e+01dB,8.46524251066402e+01°)
1.73780082874937e+05	(2.09018311775881e-04dB,-2.97289375398498e+00°)	(-1.66361553263395e+01dB,8.43146827709052e+01°)	(-1.58604318752179e+01dB,8.68450350926673e+01°)	(-3.24965872015574e+01dB,1.71159717863572e+02°)	(-7.24965872015574e+01dB,1.71159717863572e+02°)	(-5.66364192771851e+01dB,8.44265009306478e+01°)
1.77827941003891e+05	(2.30723189412388e-04dB,-3.04220404766474e+00°)	(-1.68720668502894e+01dB,8.40892246362409e+01°)	(-1.61071998270890e+01dB,8.66785646697894e+01°)	(-3.29792666773784e+01dB,1.70767789306030e+02°)	(-7.29792666773784e+01dB,1.70767789306030e+02°)	(-5.68723302548080e+01dB,8.41984839618104e+01°)
1.81970085860997e+05	(2.53413835029143e-04dB,-3.11313420962756e+00°)	(-1.71059502572499e+01dB,8.38614316662466e+01°)	(-1.63513641847483e+01dB,8.65113509393808e+01°)	(-3.34573144419982e+01dB,1.70372782605627e+02°)	(-7.34573144419982e+01dB,1.70372782605627e+02°)	(-5.71062131441813e+01dB,8.39681914269705e+01°)
1.86208713666286e+05	(2.77132596132652e-04dB,-3.18572232558658e+00°)	(-1.73379001988115e+01dB,8.36311271105367e+01°)	(-1.65930562600717e+01dB,8.63432314899978e+01°)	(-3.39309564588832e+01dB,1.69974358600535e+02°)	(-7.39309564588832e+01dB,1.69974358600535e+02°)	(-5.73381625951148e+01dB,8.37354451410372e+01°)
